Work Experience amongst Maryland Workers,,,2015,2016,2017
Gender,,,,,
,Male,,,,
,,Not working,"40,157","43,359","44,505"
,,part time,"5,986","6,317","5,721"
,,full time,"46,115","51,962","52,567"
,Female,,,,
,,Not working,"47,886","50,837","50,676"
,,part time,"8,855","11,434","9,313"
,,full time,"34,744","40,667","42,168"
Race,,,,,
,White,,,,
,,Not working,"76,392","81,331","83,556"
,,part time,"12,721","15,961","14,192"
,,full time,"73,151","82,753","83,679"
,Black,,,,
,,Not working,"6,118","6,509","7,049"
,,part time,319,"1,124",304
,,full time,"4,493","6,127","7,276"
,American Indian or Alaska Native,,,,
,,Not working,148,145,165
,,part time,0,0,0
,,full time,12,19,26
,Chinese,,,,
,,Not working,150,116,36
,,part time,0,8,2
,,full time,68,134,56
,Japanese,,,,
,,Not working,0,0,0
,,part time,0,0,0
,,full time,87,146,106
,Other Asian,,,,
,,Not working,"1,680","1,194","1,052"
,,part time,268,323,170
,,full time,781,979,"1,059"
,Other Race,,,,
,,Not working,295,"1,126",504
,,part time,"1,062",180,61
,,full time,976,"1,384",711
,Two Major,,,,
,,Not working,"3,260","3,681","2,623"
,,part time,471,155,305
,,full time,"1,291",928,"1,768"
,Three or More,,,,
,,Not working,-,94,196
,,part time,-,0,0
,,full time,-,159,54
Education,,,,,
,N/A,,,,
,,Not working,"4,668","6,129","6,135"
,,part time,0,0,0
,,full time,0,0,0
,No School,,,,
,,Not working,"4,037","6,321","6,157"
,,part time,0,0,0
,,full time,166,340,358
,Nursery,,,,
,,Not working,"4,057","4,294","3,543"
,,part time,0,0,0
,,full time,0,0,0
,Kindergarten,,,,
,,Not working,"3,305","2,556","3,222"
,,part time,0,0,0
,,full time,0,0,0
,Grade 1,,,,
,,Not working,"1,940","2,346","2,821"
,,part time,0,0,0
,,full time,0,0,0
,Grade 2,,,,
,,Not working,"3,056","2,985","2,097"
,,part time,0,0,0
,,full time,0,0,0
,Grade 3,,,,
,,Not working,"2,436","2,640","3,670"
,,part time,0,0,0
,,full time,0,0,0
,Grade 4,,,,
,,Not working,"3,589","4,900","2,919"
,,part time,0,0,0
,,full time,0,0,0
,Grade 5,,,,
,,Not working,"2,268","1,427","3,014"
,,part time,0,0,0
,,full time,0,0,0
,Grade 6,,,,
,,Not working,"2,783","3,779","3,048"
,,part time,0,0,0
,,full time,11,19,23
,Grade 7 ,,,,
,,Not working,"1,788","2,357","3,347"
,,part time,11,11,0
,,full time,29,27,130
,Grade 8 ,,,,
,,Not working,"4,533","3,435","3,202"
,,part time,620,122,77
,,full time,756,864,382
,Grade 9 ,,,,
,,Not working,"4,434","4,721","4,557"
,,part time,25,167,203
,,full time,141,624,562
,Grade 10,,,,
,,Not working,"3,874","4,340","4,110"
,,part time,715,"1,547","1,335"
,,full time,"1,111","1,958","1,333"
,Grade 11,,,,
,,Not working,"2,515","2,998","2,062"
,,part time,505,"1,197","1,061"
,,full time,"1,719","2,227","2,626"
,Grade 12,,,,
,,Not working,"1,429","1,252",963
,,part time,245,305,108
,,full time,845,854,"1,224"
,Regular Highschool Diploma,,,,
,,Not working,"18,648","16,646","17,235"
,,part time,"4,710","3,901","3,011"
,,full time,"24,489","26,175","26,021"
,GED,,,,
,,Not working,"3,064","2,584","2,805"
,,part time,743,"1,201","1,029"
,,full time,"4,070","3,558","3,206"
,Some College,,,,
,,Not working,"3,141","4,230","3,498"
,,part time,996,"1,166","1,060"
,,full time,"6,247","10,078","8,274"
,1 or more,,,,
,,Not working,"4,976","5,553","7,079"
,,part time,"1,760","3,508","3,033"
,,full time,"14,082","14,078","15,867"
,Associate,,,,
,,Not working,"2,522","2,227","2,921"
,,part time,"1,469","1,331",864
,,full time,"6,318","8,622","8,023"
,Bachelor's,,,,
,,Not working,"2,827","3,175","4,285"
,,part time,"2,057","2,267","2,539"
,,full time,"12,121","14,684","16,019"
,Master's,,,,
,,Not working,"2,050","2,685","2,079"
,,part time,734,778,581
,,full time,"6,273","6,644","8,196"
,Professional,,,,
,,Not working,70,507,365
,,part time,109,153,95
,,full time,"1,225",560,954
,Doctoral,,,,
,,Not working,33,109,47
,,part time,142,97,38
,,full time,"1,256","1,317","1,537"
Poverty,,,,,
,0-25,,,,
,,Not working,"7,369","6,048","5,929"
,,part time,723,504,321
,,full time,577,338,550
,26-50,,,,
,,Not working,"3,346","2,532","2,256"
,,part time,776,276,602
,,full time,687,538,"1,511"
,51-75,,,,
,,Not working,"1,613","5,131","2,150"
,,part time,124,632,275
,,full time,423,"1,405",439
,76-100,,,,
,,Not working,"5,061","3,229","4,745"
,,part time,260,425,352
,,full time,"1,615","1,116","1,576"
,100-500,,,,
,,Not working,"52,895","57,471","57,479"
,,part time,"8,582","10,586","9,363"
,,full time,"42,341","47,596","45,826"
,501,,,,
,,Not working,"17,759","19,785","22,622"
,,part time,"4,376","5,328","4,121"
,,full time,"35,216","41,636","44,833"
